x,y,yaw
-3.634045791625976562e+01,-6.852796554565429688e+00,2.436321735382080078e+00
-3.649151611328125000e+01,-6.721749305725097656e+00,2.417824745178222656e+00
-3.664014434814453125e+01,-6.588017940521240234e+00,2.400114536285400391e+00
-3.678646087646484375e+01,-6.451706886291503906e+00,2.383179664611816406e+00
-3.693048477172851562e+01,-6.313007831573486328e+00,2.367018461227416992e+00
-3.707231140136718750e+01,-6.172050952911376953e+00,2.351626396179199219e+00
-3.721200942993164062e+01,-6.028971195220947266e+00,2.336998224258422852e+00
-3.734964752197265625e+01,-5.883930683135986328e+00,2.323134183883666992e+00
-3.748532104492187500e+01,-5.737037181854248047e+00,2.310030221939086914e+00
-3.761911773681640625e+01,-5.588432788848876953e+00,2.297684669494628906e+00
-3.775112152099609375e+01,-5.438238620758056641e+00,2.286097764968872070e+00
-3.788143539428710938e+01,-5.286572933197021484e+00,2.275267124176025391e+00
-3.801015853881835938e+01,-5.133552074432373047e+00,2.265198230743408203e+00
-3.813739013671875000e+01,-4.979297161102294922e+00,2.255894422531127930e+00
-3.826324462890625000e+01,-4.823904991149902344e+00,2.247358798980712891e+00
-3.838782882690429688e+01,-4.667497158050537109e+00,2.239609479904174805e+00
-3.851125335693359375e+01,-4.510185718536376953e+00,2.232644796371459961e+00
-3.863364791870117188e+01,-4.352046012878417969e+00,2.226385354995727539e+00
-3.875508880615234375e+01,-4.193202018737792969e+00,2.220793008804321289e+00
-3.887569808959960938e+01,-4.033713817596435547e+00,2.215867042541503906e+00
-3.899557495117187500e+01,-3.873673677444458008e+00,2.211608409881591797e+00
-3.911481857299804688e+01,-3.713167905807495117e+00,2.208009481430053711e+00
-3.923352432250976562e+01,-3.552254438400268555e+00,2.204752683639526367e+00
-3.935171508789062500e+01,-3.390965223312377930e+00,2.201671600341796875e+00
-3.946942138671875000e+01,-3.229322195053100586e+00,2.198731899261474609e+00
-3.958665847778320312e+01,-3.067336082458496094e+00,2.195827484130859375e+00
-3.970342636108398438e+01,-2.905011653900146484e+00,2.192950487136840820e+00
-3.981972885131835938e+01,-2.742353916168212891e+00,2.190100908279418945e+00
-3.993556594848632812e+01,-2.579366683959960938e+00,2.187278985977172852e+00
-4.005094909667968750e+01,-2.416055202484130859e+00,2.184484481811523438e+00
-4.016587448120117188e+01,-2.252423286437988281e+00,2.181717157363891602e+00
-4.028035354614257812e+01,-2.088475465774536133e+00,2.178977489471435547e+00
-4.039437866210937500e+01,-1.924216508865356445e+00,2.176265001296997070e+00
-4.050796508789062500e+01,-1.759649991989135742e+00,2.173579692840576172e+00
-4.062110900878906250e+01,-1.594780921936035156e+00,2.170921802520751953e+00
-4.073381805419921875e+01,-1.429613113403320312e+00,2.168291091918945312e+00
-4.084609603881835938e+01,-1.264150619506835938e+00,2.165687561035156250e+00
-4.095794296264648438e+01,-1.098398447036743164e+00,2.163110971450805664e+00
-4.106936264038085938e+01,-9.323595762252807617e-01,2.160561561584472656e+00
-4.118036270141601562e+01,-7.660390734672546387e-01,2.158039093017578125e+00
-4.129094696044921875e+01,-5.994405746459960938e-01,2.155543804168701172e+00
-4.140111541748046875e+01,-4.325676858425140381e-01,2.153075218200683594e+00
-4.151087570190429688e+01,-2.654255926609039307e-01,2.150633811950683594e+00
-4.162022781372070312e+01,-9.801679849624633789e-02,2.148219108581542969e+00
-4.172917938232421875e+01,6.965369731187820435e-02,2.145831346511840820e+00
-4.183773040771484375e+01,2.375825047492980957e-01,2.143470287322998047e+00
